acc_x_raw,acc_y_raw,acc_z_raw,fspb1_raw,fspb2_raw,fspb3_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,imu_temperature,time_ns
-0.005754,0.011968,-9.822254,-0.025311,-0.033998,-9.822171,0.000155,0.000378,-0.000176,0.0,616078397312
-0.004824,0.012524,-9.822132,-0.024381,-0.033441,-9.822054,0.000197,0.000528,5.2e-5,0.0,616058904672
-0.006915,0.015648,-9.82526,-0.026478,-0.030333,-9.825192,0.000676,0.000604,1.9e-5,0.0,615912621408
-0.004893,0.012453,-9.823327,-0.024452,-0.033518,-9.823248,0.000261,0.00041,-0.000132,0.0,616071106208
-0.011612,0.015069,-9.821398,-0.031167,-0.030893,-9.821319,-0.00029,0.000183,3.6e-5,0.0,615956557824
-0.009355,0.013772,-9.823739,-0.028916,-0.032201,-9.823657,-9.0e-5,-0.000372,-0.00027,0.0,615990628320
-0.005062,0.012147,-9.819515,-0.024614,-0.033806,-9.819435,0.000102,0.000652,-2.7e-5,0.0,616046724576
-0.005105,0.01235,-9.823014,-0.024664,-0.03362,-9.822934,0.00025,0.000395,-0.00017,0.0,616073526208
-0.006321,0.01179,-9.821968,-0.025878,-0.034174,-9.821883,9.2e-5,0.000356,-0.000147,0.0,616080838944
-0.007142,0.019212,-9.821,-0.026697,-0.026749,-9.820948,-0.000422,0.000964,-0.000375,0.0,616022308448
-0.005421,0.012197,-9.822649,-0.024979,-0.03377,-9.822568,0.000213,0.000393,-0.000181,0.0,616075954912
-0.004698,0.012715,-9.823206,-0.024257,-0.033256,-9.82313,0.000249,0.000473,-1.0e-6,0.0,616063774560
-0.006607,0.01586,-9.825113,-0.02617,-0.030119,-9.825047,0.000772,0.000669,-8.5e-5,0.0,615910191104
-0.005387,0.007366,-5.630208,-0.016598,-0.018982,-5.630159,0.001515,-0.000821,-0.002466,0.0,615878554560
-0.007976,0.012376,-9.822557,-0.027534,-0.033591,-9.822472,-0.000198,0.00041,0.000476,0.0,615929701024
-0.007707,0.012099,-9.821884,-0.027264,-0.033866,-9.821798,-0.000225,0.00043,0.000503,0.0,615932192864
-0.008426,0.011064,-9.822021,-0.027983,-0.0349,-9.821929,-0.000109,0.000304,5.0e-6,0.0,616088301600
-0.013086,0.012959,-9.82207,-0.032643,-0.033006,-9.821977,-0.000187,0.000135,-0.000396,0.0,615963844288
-0.004744,0.012571,-9.82349,-0.024304,-0.033401,-9.823412,0.000273,0.00042,-9.3e-5,0.0,616068634496
-0.004709,0.012664,-9.823468,-0.024269,-0.033308,-9.823391,0.000264,0.000451,-4.7e-5,0.0,616066219520
-0.007455,0.011905,-9.82131,-0.02701,-0.034056,-9.821223,-0.000245,0.000469,0.000525,0.0,615934588864
-0.002375,0.003131,-2.846792,-0.008043,-0.010191,-2.846765,0.001859,-0.001135,-0.004118,0.0,615871298528
-0.01069,0.009191,-9.825284,-0.030253,-0.036789,-9.825178,3.8e-5,-0.000263,0.00026,0.0,616107664960
-0.009104,0.015764,-9.822135,-0.028661,-0.030201,-9.822064,-0.000105,-0.000402,-6.8e-5,0.0,616000364032
-0.006009,0.008383,-9.826119,-0.025574,-0.037602,-9.826019,-0.00033,-0.000207,0.000412,0.0,616124739328
-0.00483,0.012378,-9.821454,-0.024386,-0.033585,-9.821375,0.000156,0.000558,6.8e-5,0.0,616056434624
-0.012801,0.013867,-9.821872,-0.032358,-0.032097,-9.821785,-0.000229,0.000129,-0.000273,0.0,615961356448
-0.005506,0.0081,-9.826214,-0.025072,-0.037885,-9.826114,-0.000231,0.000164,0.000388,0.0,616132067424
-0.007296,0.010473,-7.386795,-0.022003,-0.024095,-7.386734,0.001238,-0.000483,-0.001476,0.0,615883366688
-0.006192,0.018498,-9.820965,-0.025747,-0.027462,-9.820912,-0.000263,0.001012,-0.000436,0.0,616027182272
-0.004553,0.010704,-9.824008,-0.024114,-0.03527,-9.823922,0.000128,0.000414,0.000333,0.0,616144242336
-0.010731,0.010042,-9.823326,-0.030291,-0.035929,-9.823224,-0.000157,0.000146,0.00015,0.0,616095459104
-0.012896,0.010409,-9.823393,-0.032455,-0.035562,-9.823289,-0.00014,0.000125,-0.000629,0.0,615971162112
-0.009214,0.014425,-9.82335,-0.028774,-0.031546,-9.823273,-7.7e-5,-0.000429,-0.000203,0.0,615993053696
-0.008056,0.014451,-9.82501,-0.027619,-0.031528,-9.824934,0.00023,0.000429,0.000278,0.0,615920054752
-0.011517,0.009482,-9.824254,-0.031078,-0.036493,-9.824148,-8.3e-5,-1.4e-5,0.000209,0.0,616100347840
-0.008303,0.013895,-9.824587,-0.027865,-0.032082,-9.824509,9.1e-5,0.000397,0.000344,0.0,615922418848
-0.007462,0.012308,-9.820801,-0.027017,-0.033652,-9.820717,-0.000264,0.000503,0.000574,0.0,615939426976
-0.011215,0.009264,-9.825004,-0.030777,-0.036714,-9.824898,2.0e-5,-0.000193,0.000238,0.0,616105214336
-0.013238,0.011984,-9.822484,-0.032796,-0.033983,-9.822387,-0.000161,0.000136,-0.0005,0.0,615966312064
-0.005572,0.016902,-9.820645,-0.025126,-0.029056,-9.820586,-6.6e-5,0.000939,-0.000412,0.0,616032124992
-0.012076,0.009911,-9.824136,-0.031637,-0.036064,-9.824032,-0.000117,6.4e-5,-0.000622,0.0,615976190912
-0.005057,0.013082,-9.819631,-0.024609,-0.032872,-9.819555,0.000108,0.000722,-0.000162,0.0,616041817856
-0.004922,0.012242,-9.820816,-0.024477,-0.033717,-9.820737,0.000136,0.000569,6.6e-5,0.0,616054009792
-0.004748,0.012683,-9.8227,-0.024306,-0.033286,-9.822623,0.000228,0.000491,2.7e-5,0.0,616061332576
-0.003258,0.004378,-3.730268,-0.010685,-0.013078,-3.730234,0.00175,-0.001052,-0.003587,0.0,615873691840
-0.010051,0.010365,-9.822782,-0.029609,-0.035604,-9.822683,-0.000164,0.000222,0.000107,0.0,616093024480
-0.005312,0.008321,-9.826039,-0.024877,-0.037662,-9.82594,-0.000141,0.000275,0.000379,0.0,616134461888
-0.009119,0.016494,-9.821466,-0.028675,-0.029469,-9.821398,-0.000203,-0.000182,-4.9e-5,0.0,616005251264
-0.00662,0.01898,-9.821009,-0.026175,-0.026981,-9.820958,-0.000362,0.001012,-0.000407,0.0,616024748576
-0.008771,0.017944,-9.821049,-0.028326,-0.028016,-9.820989,-0.000416,0.000366,-0.000139,0.0,616012567808
-0.005661,0.008066,-9.826244,-0.025226,-0.037918,-9.826143,-0.000299,5.3e-5,0.000397,0.0,616129595808
-0.012537,0.009983,-9.823809,-0.032097,-0.03599,-9.823704,-0.000127,9.9e-5,-0.000634,0.0,615973596896
-0.007475,0.015856,-9.741438,-0.026872,-0.029732,-9.741372,0.000847,0.000558,-0.000362,0.0,615897975968
-0.00506,0.012492,-9.819495,-0.024612,-0.033461,-9.819416,0.000113,0.000681,-8.9e-5,0.0,616044276288
-0.00894,0.017461,-9.821103,-0.028495,-0.0285,-9.821039,-0.000343,0.000175,-9.4e-5,0.0,616010134048
-0.009921,0.009187,-9.825496,-0.029485,-0.036794,-9.825392,2.7e-5,-0.00033,0.000291,0.0,616110162496
-0.006405,0.015996,-9.824903,-0.025968,-0.029983,-9.824838,0.000841,0.000708,-0.000177,0.0,615907764352
-0.009975,0.012181,-9.824421,-0.029537,-0.033796,-9.824331,-0.00011,-0.000229,-0.000403,0.0,615985751232
-0.012309,0.014604,-9.821614,-0.031865,-0.031359,-9.821531,-0.000259,0.000153,-0.000119,0.0,615958943424
