altitude_command,altitude_error,control_mode,pitch_command,pitch_error,pos_completion_parameter,pos_current_distance_to_synth_wp,pos_distance_start_to_end,roll_command,roll_error,tilt_command,tilt_error,time_ns,x_pos_command,x_pos_error,y_pos_command,y_pos_error,yaw_command,yaw_error
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616137361888,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615877483136,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616057371104,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616047365088,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615897363296,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616037356512,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616128168704,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616087415936,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616097395872,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615887376992,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616027364256,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616017521536,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616147433056,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615977363424,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616107396032,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616117540768,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615868760736,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615927365728,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615947403712,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615937379232,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616067439936,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615987377824,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615967470848,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615907775168,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615957580160,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615917372224,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616007392768,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615997378592,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,0.0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616077559392,0.0,0.0,0.0,0.0,0.0,0.0
